,客队vs主队,比分,结果,北京时间
0,火箭vs公牛,125 - 104,胜,2020-12-12 09:00:00
1,火箭vs公牛,91 - 104,负,2020-12-14 09:00:00
2,马刺vs火箭,98 - 112,胜,2020-12-16 09:00:00
3,马刺vs火箭,106 - 128,胜,2020-12-18 09:00:00
4,雷霆vs火箭,-,-,2020-12-24 09:00:00
5,火箭vs开拓者,126 - 128,负,2020-12-27 11:00:00
6,火箭vs掘金,111 - 124,负,2020-12-29 10:00:00
7,国王vs火箭,119 - 122,胜,2021-01-01 08:00:00
8,国王vs火箭,94 - 102,胜,2021-01-03 06:00:00
9,独行侠vs火箭,113 - 100,负,2021-01-05 09:00:00
10,火箭vs步行者,107 - 114,负,2021-01-07 08:00:00
11,魔术vs火箭,90 - 132,胜,2021-01-09 09:00:00
12,湖人vs火箭,120 - 102,负,2021-01-11 08:00:00
13,湖人vs火箭,117 - 100,负,2021-01-13 09:00:00
14,火箭vs马刺,109 - 105,胜,2021-01-15 08:30:00
15,火箭vs马刺,91 - 103,负,2021-01-17 06:00:00
16,火箭vs公牛,120 - 125,负,2021-01-19 09:00:00
17,太阳vs火箭,109 - 103,负,2021-01-21 10:30:00
18,火箭vs活塞,103 - 102,胜,2021-01-23 08:00:00
19,火箭vs独行侠,133 - 108,胜,2021-01-24 10:00:00
20,奇才vs火箭,88 - 107,胜,2021-01-27 09:00:00
21,开拓者vs火箭,101 - 104,胜,2021-01-29 08:30:00
22,火箭vs鹈鹕,126 - 112,胜,2021-01-31 09:00:00
23,火箭vs雷霆,136 - 106,胜,2021-02-02 09:00:00
24,火箭vs雷霆,87 - 104,负,2021-02-04 09:00:00
25,火箭vs灰熊,115 - 103,胜,2021-02-05 10:00:00
26,马刺vs火箭,111 - 106,负,2021-02-07 09:00:00
27,火箭vs黄蜂,94 - 119,负,2021-02-09 08:00:00
28,火箭vs鹈鹕,101 - 130,负,2021-02-10 08:30:00
29,热火vs火箭,101 - 94,负,2021-02-12 08:30:00
30,火箭vs尼克斯,99 - 121,负,2021-02-14 09:00:00
31,火箭vs奇才,119 - 131,负,2021-02-16 08:00:00
32,火箭vs76人,113 - 118,负,2021-02-18 08:30:00
33,独行侠vs火箭,-,-,2021-02-20 09:00:00
34,步行者vs火箭,-,-,2021-02-21 09:00:00
35,公牛vs火箭,120 - 100,负,2021-02-23 09:00:00
36,火箭vs骑士,96 - 112,负,2021-02-25 08:30:00
37,火箭vs猛龙,111 - 122,负,2021-02-27 08:30:00
38,灰熊vs火箭,133 - 84,负,2021-03-01 09:00:00
39,骑士vs火箭,101 - 90,负,2021-03-02 10:00:00
40,篮网vs火箭,132 - 114,负,2021-03-04 08:30:00
41,火箭vs国王,105 - 125,负,2021-03-12 11:00:00
42,火箭vs爵士,99 - 114,负,2021-03-13 11:00:00
43,凯尔特人vs火箭,134 - 107,负,2021-03-15 08:00:00
44,老鹰vs火箭,119 - 107,负,2021-03-17 08:00:00
45,勇士vs火箭,108 - 94,负,2021-03-18 08:00:00
46,活塞vs火箭,113 - 100,负,2021-03-20 08:00:00
47,雷霆vs火箭,114 - 112,负,2021-03-22 02:00:00
48,猛龙vs火箭,99 - 117,胜,2021-03-23 09:00:00
49,黄蜂vs火箭,122 - 97,负,2021-03-25 08:00:00
50,火箭vs森林狼,101 - 107,负,2021-03-27 08:00:00
51,火箭vs森林狼,129 - 107,胜,2021-03-28 08:00:00
52,灰熊vs火箭,120 - 110,负,2021-03-30 08:00:00
53,火箭vs篮网,108 - 120,负,2021-04-01 07:30:00
54,火箭vs凯尔特人,102 - 118,负,2021-04-03 07:30:00
55,鹈鹕vs火箭,122 - 115,负,2021-04-05 08:00:00
56,太阳vs火箭,133 - 130,负,2021-04-06 08:00:00
57,独行侠vs火箭,93 - 102,胜,2021-04-08 08:00:00
58,火箭vs快船,109 - 126,负,2021-04-10 10:00:00
59,火箭vs勇士,109 - 125,负,2021-04-11 10:00:00
60,火箭vs太阳,120 - 126,负,2021-04-13 10:00:00
61,步行者vs火箭,132 - 124,负,2021-04-15 09:00:00
62,掘金vs火箭,128 - 99,负,2021-04-17 08:00:00
63,火箭vs魔术,114 - 110,胜,2021-04-19 07:00:00
64,火箭vs热火,91 - 113,负,2021-04-20 08:00:00
65,爵士vs火箭,112 - 89,负,2021-04-22 08:00:00
66,快船vs火箭,109 - 104,负,2021-04-24 08:00:00
67,火箭vs掘金,116 - 129,负,2021-04-25 10:00:00
68,森林狼vs火箭,114 - 107,负,2021-04-28 09:00:00
69,雄鹿vs火箭,136 - 143,胜,2021-04-30 08:00:00
70,勇士vs火箭,113 - 87,负,2021-05-02 07:30:00
71,尼克斯vs火箭,122 - 97,负,2021-05-03 08:00:00
72,76人vs火箭,135 - 115,负,2021-05-06 08:00:00
73,火箭vs雄鹿,133 - 141,负,2021-05-08 08:00:00
74,火箭vs爵士,116 - 124,负,2021-05-09 10:00:00
75,火箭vs开拓者,129 - 140,负,2021-05-11 10:00:00
76,火箭vs湖人,122 - 124,负,2021-05-13 10:30:00
77,快船vs火箭,115 - 122,胜,2021-05-15 09:00:00
78,火箭vs老鹰,95 - 124,负,2021-05-17 07:00:00
