,date,open,close,high,low,volume,code
0,1991-01-02,0.185,0.188,0.188,0.185,759.0,000001
1,1991-01-03,0.429,0.429,0.429,0.429,212.4,000001
2,1991-01-04,0.428,0.428,0.428,0.428,167.9,000001
3,1991-01-05,0.426,0.426,0.426,0.426,131.5,000001
4,1991-01-07,0.426,0.426,0.426,0.426,161.36,000001
5,1991-01-08,0.424,0.424,0.424,0.424,179.18,000001
6,1991-01-09,0.422,0.422,0.422,0.422,61.06,000001
7,1991-01-10,0.42,0.42,0.42,0.42,48.9,000001
8,1991-01-11,0.418,0.418,0.418,0.418,48.5,000001
9,1991-01-12,0.416,0.416,0.416,0.416,48.0,000001
10,1991-01-14,0.413,0.413,0.413,0.413,118.83,000001
11,1991-01-15,0.411,0.411,0.411,0.411,133.2,000001
12,1991-01-16,0.409,0.409,0.409,0.409,53.8,000001
13,1991-01-17,0.407,0.407,0.407,0.407,44.5,000001
14,1991-01-18,0.405,0.405,0.405,0.405,32.0,000001
15,1991-01-19,0.403,0.403,0.403,0.403,22.5,000001
16,1991-01-21,0.401,0.401,0.401,0.401,32.0,000001
17,1991-01-22,0.399,0.399,0.399,0.399,21.5,000001
18,1991-01-23,0.397,0.397,0.397,0.397,45.02,000001
19,1991-01-24,0.395,0.395,0.395,0.395,23.0,000001
20,1991-01-25,0.393,0.393,0.393,0.393,77.2,000001
21,1991-01-26,0.391,0.391,0.391,0.391,130.0,000001
22,1991-01-28,0.389,0.389,0.389,0.389,124.0,000001
23,1991-01-29,0.387,0.387,0.387,0.387,230.8,000001
24,1991-01-30,0.385,0.385,0.385,0.385,461.57,000001
25,1991-01-31,0.386,0.386,0.386,0.386,1652.15,000001
26,1991-02-01,0.389,0.389,0.389,0.389,1362.47,000001
27,1991-02-02,0.39,0.39,0.39,0.39,425.15,000001
28,1991-02-04,0.393,0.393,0.393,0.393,675.7,000001
29,1991-02-05,0.395,0.395,0.395,0.395,689.99,000001
30,1991-02-06,0.396,0.396,0.396,0.396,368.86,000001
31,1991-02-07,0.399,0.399,0.399,0.399,323.63,000001
32,1991-02-08,0.401,0.401,0.401,0.401,424.72,000001
33,1991-02-09,0.403,0.403,0.403,0.403,658.95,000001
34,1991-02-11,0.405,0.405,0.405,0.405,1806.41,000001
35,1991-02-12,0.406,0.406,0.406,0.406,1768.1,000001
36,1991-02-13,0.408,0.408,0.408,0.408,663.21,000001
37,1991-02-22,0.411,0.411,0.411,0.411,634.34,000001
38,1991-02-23,0.413,0.413,0.413,0.413,446.56,000001
39,1991-02-25,0.415,0.415,0.415,0.415,726.78,000001
40,1991-02-26,0.415,0.415,0.415,0.415,1133.88,000001
41,1991-02-27,0.414,0.414,0.414,0.414,590.9,000001
42,1991-02-28,0.412,0.412,0.412,0.412,350.4,000001
43,1991-03-01,0.411,0.411,0.411,0.411,196.4,000001
44,1991-03-02,0.408,0.408,0.408,0.408,194.75,000001
45,1991-03-04,0.408,0.408,0.408,0.408,102.5,000001
46,1991-03-05,0.406,0.406,0.406,0.406,86.8,000001
47,1991-03-06,0.404,0.404,0.404,0.404,67.84,000001
48,1991-03-07,0.402,0.402,0.402,0.402,29.0,000001
49,1991-03-08,0.4,0.4,0.4,0.4,195.4,000001
50,1991-03-09,0.398,0.398,0.398,0.398,75.12,000001
51,1991-03-11,0.396,0.396,0.396,0.396,182.89,000001
52,1991-03-12,0.394,0.394,0.394,0.394,437.47,000001
53,1991-04-03,0.314,0.314,0.314,0.314,1.0,000001
54,1991-04-04,0.313,0.313,0.313,0.313,3.0,000001
55,1991-04-05,0.311,0.311,0.311,0.311,2.0,000001
56,1991-04-06,0.31,0.31,0.31,0.31,7.0,000001
57,1991-04-08,0.308,0.308,0.308,0.308,2.0,000001
58,1991-04-09,0.306,0.306,0.306,0.306,4.0,000001
59,1991-04-10,0.305,0.305,0.305,0.305,15.0,000001
60,1991-04-12,0.302,0.302,0.302,0.302,8.0,000001
61,1991-04-13,0.3,0.3,0.3,0.3,5.0,000001
62,1991-04-16,0.297,0.297,0.297,0.297,2.0,000001
63,1991-04-17,0.296,0.296,0.296,0.296,1.0,000001
64,1991-04-18,0.294,0.294,0.294,0.294,4.0,000001
65,1991-04-19,0.293,0.293,0.293,0.293,2.0,000001
66,1991-04-20,0.291,0.291,0.291,0.291,5.0,000001
67,1991-04-23,0.288,0.288,0.288,0.288,28.0,000001
68,1991-04-24,0.287,0.287,0.287,0.287,16.0,000001
69,1991-04-25,0.286,0.286,0.286,0.286,15.0,000001
70,1991-04-26,0.284,0.284,0.284,0.284,8.0,000001
71,1991-04-29,0.281,0.281,0.281,0.281,4.0,000001
72,1991-04-30,0.28,0.28,0.28,0.28,2.0,000001
73,1991-05-02,0.279,0.279,0.279,0.279,2.0,000001
74,1991-05-03,0.277,0.277,0.277,0.277,3.0,000001
75,1991-05-04,0.276,0.276,0.276,0.276,2.0,000001
76,1991-05-06,0.274,0.274,0.274,0.274,9.0,000001
77,1991-05-07,0.273,0.273,0.273,0.273,2.0,000001
78,1991-05-08,0.272,0.272,0.272,0.272,109.0,000001
79,1991-05-09,0.27,0.27,0.27,0.27,15.0,000001
80,1991-05-10,0.269,0.269,0.269,0.269,20.0,000001
81,1991-05-11,0.268,0.268,0.268,0.268,6.0,000001
82,1991-05-13,0.266,0.266,0.266,0.266,19.0,000001
83,1991-05-14,0.265,0.265,0.265,0.265,55.0,000001
84,1991-05-15,0.264,0.264,0.264,0.264,387.0,000001
85,1991-05-16,0.262,0.262,0.262,0.262,493.0,000001
86,1991-05-17,0.261,0.261,0.261,0.261,419.0,000001
87,1991-05-18,0.26,0.26,0.26,0.26,110.0,000001
88,1991-05-20,0.258,0.258,0.258,0.258,51.0,000001
89,1991-05-21,0.257,0.257,0.257,0.257,63.0,000001
90,1991-05-22,0.256,0.256,0.256,0.256,43.0,000001
91,1991-05-23,0.255,0.255,0.255,0.255,17.0,000001
92,1991-05-24,0.253,0.253,0.253,0.253,3.0,000001
93,1991-05-27,0.251,0.251,0.251,0.251,5.0,000001
94,1991-05-28,0.249,0.249,0.249,0.249,3.0,000001
95,1991-05-29,0.248,0.248,0.248,0.248,36.0,000001
96,1991-05-30,0.247,0.247,0.247,0.247,14.0,000001
97,1991-05-31,0.246,0.246,0.246,0.246,1.0,000001
98,1991-06-01,0.245,0.245,0.245,0.245,10.0,000001
99,1991-06-03,0.243,0.243,0.243,0.243,7.0,000001
100,1991-06-04,0.242,0.242,0.242,0.242,1.0,000001
101,1991-06-06,0.24,0.24,0.24,0.24,4.0,000001
102,1991-06-07,0.238,0.238,0.238,0.238,1.0,000001
103,1991-06-08,0.237,0.237,0.237,0.237,6.0,000001
104,1991-06-10,0.236,0.236,0.236,0.236,15.0,000001
105,1991-06-11,0.235,0.235,0.235,0.235,12.0,000001
106,1991-06-12,0.234,0.234,0.234,0.234,15.0,000001
107,1991-06-13,0.233,0.233,0.233,0.233,34.0,000001
108,1991-06-14,0.231,0.231,0.231,0.231,7.0,000001
109,1991-06-15,0.23,0.23,0.23,0.23,27.0,000001
110,1991-06-17,0.229,0.229,0.229,0.229,5.0,000001
111,1991-06-18,0.228,0.228,0.228,0.228,10.0,000001
112,1991-06-19,0.227,0.227,0.227,0.227,57.0,000001
113,1991-06-20,0.226,0.226,0.226,0.226,30.0,000001
114,1991-06-21,0.225,0.225,0.225,0.225,2.0,000001
115,1991-06-22,0.223,0.223,0.223,0.223,16.0,000001
116,1991-06-24,0.222,0.222,0.222,0.222,25.0,000001
117,1991-06-25,0.221,0.221,0.221,0.221,12.0,000001
118,1991-06-26,0.22,0.22,0.22,0.22,4.0,000001
119,1991-06-27,0.219,0.219,0.219,0.219,4.0,000001
120,1991-06-28,0.218,0.218,0.218,0.218,2.0,000001
121,1991-07-01,0.216,0.216,0.216,0.216,2.0,000001
122,1991-07-02,0.215,0.215,0.215,0.215,2.0,000001
123,1991-07-04,0.212,0.212,0.212,0.212,11.0,000001
124,1991-07-05,0.211,0.211,0.211,0.211,2.0,000001
125,1991-07-06,0.21,0.21,0.21,0.21,1.0,000001
126,1991-07-08,0.209,0.209,0.209,0.209,9.0,000001
127,1991-07-10,0.207,0.207,0.207,0.207,6.0,000001
128,1991-07-11,0.206,0.206,0.206,0.206,1.0,000001
129,1991-07-15,0.203,0.203,0.203,0.203,4.0,000001
130,1991-07-19,0.199,0.199,0.199,0.199,1.0,000001
131,1991-07-20,0.198,0.198,0.198,0.198,2.0,000001
132,1991-07-24,0.195,0.195,0.195,0.195,2.0,000001
133,1991-07-26,0.193,0.193,0.193,0.193,3.0,000001
134,1991-07-29,0.191,0.191,0.191,0.191,7.0,000001
135,1991-07-30,0.19,0.19,0.19,0.19,7.0,000001
136,1991-07-31,0.189,0.189,0.189,0.189,1.0,000001
137,1991-08-01,0.188,0.188,0.188,0.188,7.0,000001
138,1991-08-02,0.187,0.187,0.187,0.187,1.0,000001
139,1991-08-17,0.188,0.197,0.197,0.184,328.0,000001
140,1991-08-19,0.2,0.204,0.204,0.197,3100.0,000001
141,1991-08-20,0.204,0.197,0.204,0.196,1969.0,000001
142,1991-08-21,0.197,0.194,0.197,0.191,3431.0,000001
143,1991-08-22,0.194,0.186,0.194,0.186,2841.0,000001
144,1991-08-23,0.186,0.188,0.189,0.179,4381.0,000001
145,1991-08-24,0.194,0.195,0.197,0.188,3330.0,000001
146,1991-08-26,0.195,0.192,0.195,0.191,2772.0,000001
147,1991-08-27,0.192,0.19,0.192,0.189,2085.0,000001
148,1991-08-28,0.191,0.189,0.191,0.188,2439.0,000001
149,1991-08-29,0.188,0.189,0.189,0.188,2296.0,000001
150,1991-08-30,0.188,0.188,0.189,0.188,2251.0,000001
151,1991-08-31,0.188,0.188,0.188,0.186,1200.0,000001
152,1991-09-02,0.188,0.188,0.188,0.183,2316.0,000001
153,1991-09-03,0.188,0.188,0.188,0.184,2874.0,000001
154,1991-09-04,0.185,0.186,0.186,0.184,1604.0,000001
155,1991-09-05,0.184,0.183,0.184,0.179,4840.0,000001
156,1991-09-06,0.179,0.171,0.179,0.169,3267.0,000001
157,1991-09-07,0.171,0.173,0.173,0.168,3641.0,000001
158,1991-09-09,0.171,0.174,0.174,0.171,6297.0,000001
159,1991-09-10,0.171,0.174,0.174,0.171,4235.0,000001
160,1991-09-11,0.173,0.18,0.18,0.173,4528.0,000001
161,1991-09-12,0.179,0.181,0.181,0.179,3524.0,000001
162,1991-09-13,0.18,0.181,0.181,0.179,7525.0,000001
163,1991-09-14,0.18,0.181,0.181,0.179,3563.0,000001
164,1991-09-16,0.179,0.179,0.179,0.176,2240.0,000001
165,1991-09-17,0.178,0.178,0.178,0.176,3009.0,000001
166,1991-09-18,0.176,0.178,0.178,0.175,2620.0,000001
167,1991-09-19,0.176,0.177,0.177,0.175,3475.0,000001
168,1991-09-20,0.176,0.176,0.176,0.176,2340.0,000001
169,1991-09-21,0.176,0.176,0.176,0.176,1978.0,000001
170,1991-09-23,0.176,0.176,0.176,0.176,2078.0,000001
171,1991-09-24,0.176,0.176,0.176,0.176,1402.0,000001
172,1991-09-25,0.176,0.178,0.178,0.176,1770.0,000001
173,1991-09-26,0.176,0.179,0.179,0.176,717.0,000001
174,1991-09-27,0.179,0.181,0.183,0.179,1476.0,000001
175,1991-09-28,0.181,0.181,0.183,0.181,1086.0,000001
176,1991-09-29,0.182,0.183,0.183,0.181,930.0,000001
177,1991-10-03,0.183,0.197,0.201,0.183,1809.0,000001
178,1991-10-04,0.198,0.195,0.198,0.192,3931.0,000001
179,1991-10-05,0.194,0.199,0.2,0.193,2088.0,000001
180,1991-10-07,0.2,0.216,0.216,0.2,4083.0,000001
181,1991-10-08,0.234,0.267,0.267,0.232,6514.0,000001
182,1991-10-09,0.269,0.324,0.328,0.269,6476.0,000001
183,1991-10-10,0.325,0.275,0.348,0.257,6109.0,000001
184,1991-10-11,0.272,0.3,0.3,0.224,8566.0,000001
185,1991-10-12,0.3,0.304,0.308,0.3,3338.0,000001
186,1991-10-14,0.305,0.309,0.314,0.304,6485.0,000001
187,1991-10-15,0.309,0.291,0.309,0.287,3610.0,000001
188,1991-10-16,0.291,0.287,0.291,0.276,3914.0,000001
189,1991-10-17,0.287,0.304,0.304,0.287,4202.0,000001
190,1991-10-18,0.304,0.302,0.311,0.3,4856.0,000001
191,1991-10-19,0.301,0.3,0.301,0.297,1813.0,000001
192,1991-10-21,0.3,0.299,0.305,0.298,3557.0,000001
193,1991-10-22,0.3,0.294,0.3,0.292,3335.0,000001
